package_name,used_version,serverity,downloadCount
jquery:jquery,1.11.2,medium,67785089
jquery:jquery,1.11.2,medium,67785089
jquery:jquery,1.11.2,medium,67785089
jquery:jquery,1.11.2,medium,67785089
jquery:jquery,1.8.3,medium,5840174
jquery:jquery,1.8.3,medium,5840174
jquery:jquery,1.8.3,medium,5840174
jquery:jquery,1.8.3,medium,5840174
jquery:jquery,1.8.3,medium,5840174
jquery:jquery,1.8.3,medium,5840174
jquery-ui:jquery-ui,1.12.1,medium,4297592
jquery-ui:jquery-ui,1.12.1,medium,4297592
jquery-ui:jquery-ui,1.12.1,medium,4297592
jquery-ui:jquery-ui,1.12.1,medium,4297592
jquery:jquery,3.3.1.slim,medium,3749215
jquery:jquery,3.3.1.slim,medium,3749215
jquery:jquery,3.3.1.slim,medium,3749215
jquery:jquery,1.11.1,medium,2509845
jquery:jquery,1.11.1,medium,2509845
jquery:jquery,1.11.1,medium,2509845
jquery:jquery,1.11.1,medium,2509845
jquery:jquery,2.1.4,medium,1125329
jquery:jquery,2.1.4,medium,1125329
jquery:jquery,2.1.4,medium,1125329
jquery:jquery,2.1.4,medium,1125329
markdown-it:No_npm_name,10.0.0,medium,1050316
jquery:jquery,1.8.3,medium,867547
jquery:jquery,1.8.3,medium,867547
jquery:jquery,1.8.3,medium,867547
jquery:jquery,1.8.3,medium,867547
jquery:jquery,1.8.3,medium,867547
jquery:jquery,1.8.3,medium,867547
axios:No_npm_name,0.16.2,medium,587886
jquery:jquery,3.4.1.slim,medium,534388
jquery:jquery,3.4.1.slim,medium,534388
jquery:jquery,1.7.2,medium,448491
jquery:jquery,1.7.2,medium,448491
jquery:jquery,1.7.2,medium,448491
jquery:jquery,1.7.2,medium,448491
jquery:jquery,1.7.2,medium,448491
jquery:jquery,1.7.2,medium,448491
svelte:No_npm_name,3.23.0,medium,438867
axios:No_npm_name,0.19.0,medium,418706
jquery:jquery,1-7,medium,377186
jquery:jquery,1-7,medium,377186
jquery:jquery,1-7,medium,377186
jquery:jquery,1-7,medium,377186
jquery:jquery,1-7,medium,377186
jquery:jquery,1-7,medium,377186
jquery:jquery,1.8.3,medium,376281
jquery:jquery,1.8.3,medium,376281
jquery:jquery,1.8.3,medium,376281
jquery:jquery,1.8.3,medium,376281
jquery:jquery,1.8.3,medium,376281
jquery:jquery,1.8.3,medium,376281
