package_name,used_version,serverity,downloadCount
moment.js:moment,2.29.2,high,12967360
moment.js:moment,2.29.1,high,10270061
moment.js:moment,2.29.1,high,10270061
moment.js:moment,2.29.1,high,3096048
moment.js:moment,2.29.1,high,3096048
moment.js:moment,2.20.1,high,1746500
moment.js:moment,2.20.1,high,1746500
underscore.js:underscore,1.6.0,high,1671984
underscore.js:underscore,1.9.2,high,1620228
moment.js:moment,2.24.0,high,1456209
moment.js:moment,2.24.0,high,1456209
underscore.js:underscore,1.4.2,high,1263946
moment.js:moment,2.29.1,high,753698
moment.js:moment,2.29.1,high,753698
axios:No_npm_name,0.16.2,high,587886
axios:No_npm_name,0.16.2,high,587886
underscore.js:underscore,1.8.3,high,521875
underscore.js:underscore,1.10.2,high,455487
moment.js:moment,2.29.1,high,454340
moment.js:moment,2.29.1,high,454340
moment.js:moment,2.24.0,high,440220
moment.js:moment,2.24.0,high,440220
highcharts:No_npm_name,6.1.0,high,431079
moment.js:moment,2.29.1,high,425552
moment.js:moment,2.29.1,high,425552
axios:No_npm_name,0.19.0,high,418706
underscore.js:underscore,1.8.3,high,387130
axios:No_npm_name,0.17.1,high,373115
axios:No_npm_name,0.17.1,high,373115
underscore.js:underscore,1.8.3,high,347908
moment.js:moment,2.15.1,high,325939
moment.js:moment,2.15.1,high,325939
underscore.js:underscore,1.4.2,high,318502
axios:No_npm_name,0.19.0,high,318113
underscore.js:underscore,1.9.1,high,315571
moment.js:moment,2.29.3,high,310308
underscore.js:underscore,1.9.1,high,280141
moment.js:moment,2.22.0,high,254782
moment.js:moment,2.22.0,high,254782
moment.js:moment,2.20.1,high,253983
moment.js:moment,2.20.1,high,253983
axios:No_npm_name,0.21.0,high,246348
moment.js:moment,2.22.2,high,226151
moment.js:moment,2.22.2,high,226151
moment.js:moment,2.24.0,high,218305
moment.js:moment,2.24.0,high,218305
axios:No_npm_name,0.21.1,high,208971
axios:No_npm_name,0.18.0,high,207848
axios:No_npm_name,0.18.0,high,207848
moment.js:moment,2.29.1,high,198952
moment.js:moment,2.29.1,high,198952
moment.js:moment,2.29.1,high,188431
moment.js:moment,2.29.1,high,188431
handlebars:No_npm_name,4.0.11,high,166346
handlebars:No_npm_name,4.0.11,high,166346
